Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
New York,1988,44.62,33.62,19.69,16.06,10.00,4.87,0.28,0.57,0.81,0.90,97.48,0.390395817, 0.0229275 ,56.72%,15.65%,41061.17302,5.3,736691.1931,5.8," 2,218.00 "," 456,557.00 "," 18,457.00 "," 120,477.00 "," 50,966.00 "," 66,615.00 ", 544.00 ,33848,92507,37791,33133,0.004858101,0.040426497,0.263881618,0.111631187,0.145907302,0.001191527,0.074137512,0.202618731,0.082773892,0.072571442,2254,12.6,28.1,29.9,35.8,36.5,24.6,25.9,19.1,20.5,67.6,71.1, -   ,17941309," 54,555 ", 328.87 ,0.204289056,57278118,26171362,5510790,2868213,15741533,13569288,2172245,50429254,12231589,15121647,47238674,773057,20296062,22218522,45563242,462071,18203559,80877381,50401292,373992930,,,0
North Carolina,1988,37.06,26.12,13.04,9.93,5.27,2.04,0.23,0.53,0.75,0.55,96.25,0.352240637, 0.0201518 ,50.98%,11.72%,30949.75875,4.5,200572.8209,5.8," 2,484.00 "," 124,303.00 "," 5,629.00 "," 14,498.00 "," 17,177.00 "," 38,485.00 ", 354.00 ,11850,15398,10423,8004,0.019983428,0.045284506,0.116634353,0.138186528,0.309606365,0.00284788,0.095331569,0.123874725,0.083851556,0.064391044,770,12.2,6.3,7.6,2.4,2.4,6.2,7.4,4.3,5.2,18.1,21.7, 1 ,6480594," 53,819 ", 120.41 ,0.2389902,12726542,6843064,1627672,1194029,3417434,2784385,633049,11034518,1341942,5291161,22691859,456608,4875339,8051719,3408308,193999,5314916,13558013,14349951,100022056,,,0
North Dakota,1988,35.28,24.73,11.40,8.39,4.11,1.42,0.20,0.56,0.77,0.37,95.59,0.548396555, 0.0256244 ,55.77%,11.05%,24001.88111,-7.2,15729.17675,-8, 327.00 ," 9,748.00 ", 389.00 ," 1,263.00 "," 1,798.00 ", 648.00 , 690.00 ,942,1572,1185,933,0.033545343,0.039905622,0.129565039,0.184448092,0.066475174,0.070783751,0.096635207,0.161263849,0.121563398,0.095711941,79,12.2,11.4,15.6,22.5,23.5,19.2,23.7,6.8,9.0,25.7,36.1, 1 ,655331," 70,698 ", 9.27 ,0.048645448,1646042,664458,206018,153110,155999,114234,41765,1596834,234361,358033,398563,55701,525777,654261,287403,158132,612743,1361258,1575484,8473720,,,0
Ohio,1988,36.74,25.82,12.86,9.79,5.18,2.00,0.22,0.52,0.73,0.54,96.40,0.366997464, 0.0182371 ,55.99%,10.95%,30678.26684,3.4,331280.8597,3.8," 2,029.00 "," 205,308.00 "," 8,243.00 "," 28,035.00 "," 22,454.00 "," 61,536.00 "," 1,611.00 ",19036,32934,15819,13610,0.009882713,0.040149434,0.136550938,0.109367389,0.299725291,0.007846747,0.092719232,0.160412648,0.077050091,0.066290646,1143,10.6,22.4,24.3,26.1,27.7,35.3,36.9,18.6,19.7,43.4,50.2, -   ,10798552," 44,826 ", 240.90 ,0.114750529,25641815,9990514,3218959,1950318,3946715,3364689,582026,21395276,4073471,7274896,42956655,512689,8548367,12838005,6314101,1088267,8319250,29204141,19163550,178043191,,,0
Oklahoma,1988,35.76,25.26,12.20,9.16,4.71,1.74,0.22,0.57,0.78,0.50,96.05,0.445551382, 0.0197247 ,53.86%,11.27%,26833.2436,6.2,84982.41198,4.8," 1,524.00 "," 52,667.00 "," 1,419.00 "," 5,956.00 "," 8,684.00 "," 9,086.00 "," 4,741.00 ",5236,7573,5377,3071,0.028936526,0.026942867,0.113087892,0.164885032,0.172517895,0.090018418,0.099417092,0.143790229,0.102094291,0.058309758,460,14.7,9.9,11.0,11.9,11.9,18.6,19.5,7.5,8.1,19.1,22.5, -   ,3167057," 69,899 ", 45.31 ,0.159398206,6424611,3150072,756916,700151,916504,832779,83725,5781220,937192,1532510,5490412,161478,1785120,3346003,1637239,1908796,2462227,6582406,7063713,45332471,,,0
Oregon,1988,36.79,25.75,12.67,9.58,5.01,1.90,0.22,0.54,0.75,0.53,96.27,0.472462511, 0.0245589 ,60.03%,13.47%,28923.5674,4.7,79288.08855,6.3," 1,748.00 "," 49,138.00 "," 1,832.00 "," 7,364.00 "," 6,767.00 "," 10,675.00 ", 61.00 ,4423,7951,4542,3776,0.035573283,0.037282755,0.149863649,0.137714193,0.217245309,0.001241402,0.090011803,0.161809597,0.092433554,0.076844804,327,11.2,20.8,23.9,22.7,24.9,24.3,24.9,15.1,16.5,48.4,60.8, -   ,2741297," 98,379 ", 27.86 ,0.052273529,6265708,2110963,0,314949,1450694,1283647,167047,5254705,628952,1720231,7092380,404182,2292214,3577015,1581787,56637,2410748,6998699,6021750,43415873,,,0
Pennsylvania,1988,40.81,29.37,15.47,12.05,6.75,2.83,0.24,0.54,0.75,0.61,96.60,0.377731152, 0.0192318 ,59.19%,12.73%,30046.77786,4.6,355926.6789,4.9," 2,259.00 "," 220,582.00 "," 10,945.00 "," 36,624.00 "," 24,306.00 "," 48,397.00 "," 1,904.00 ",20672,42649,18243,14583,0.010241089,0.049618736,0.166033493,0.110190315,0.219405935,0.008631711,0.093715716,0.193347599,0.082703938,0.066111469,1261,10.4,21.1,23.3,23.8,24.6,31.9,33.2,16.8,18.2,48.5,55.6, -   ,11845752," 46,054 ", 257.21 ,0.104461105,23823815,11825044,3846585,2169301,3851875,2805432,1046443,21397190,4628863,10016348,36523030,652279,9319826,14603350,8410237,1968916,10079798,37547809,21055881,203518393,,,0
Rhode Island,1988,40.27,28.91,15.14,11.76,6.55,2.72,0.23,0.53,0.74,0.62,95.25,0.442913807, 0.0254418 ,56.59%,13.81%,31963.65328,6.2,31848.83984,6.9, 236.00 ," 19,738.00 ", 965.00 ," 4,215.00 "," 2,425.00 "," 3,928.00 ", 9.00 ,1947,3663,1164,1185,0.011956632,0.048890465,0.213547472,0.122859459,0.199006992,0.000455973,0.098642213,0.185581113,0.05897254,0.060036478,64,6.7,19.8,20.5,30.5,30.5,16.1,16.7,11.9,12.6,67.0,68.0, -   ,996408," 1,545 ", 644.92 ,0.061424391,2721715,1123686,383209,192924,467655,388461,79194,2480053,500913,889979,3153690,135011,729183,1359030,775361,8915,540160,3236863,2175649,18173181,,,0
South Carolina,1988,34.63,24.07,11.32,8.40,4.20,1.49,0.21,0.52,0.74,0.47,95.65,0.359169475, 0.0186448 ,51.47%,11.06%,27110.87889,4.2,92504.92142,5.2, 780.00 ," 57,329.00 "," 3,186.00 "," 6,566.00 "," 10,245.00 "," 15,360.00 ", 133.00 ,5763,7014,4942,3339,0.013605679,0.055573968,0.114531912,0.178705367,0.267927227,0.002319943,0.10052504,0.122346456,0.08620419,0.058242774,585,17,5.1,6.6,4.9,5.6,6.3,8.2,4.1,5.1,9.7,13.8, 1 ,3412096," 32,020 ", 106.56 ,0.306789504,7343741,3438186,1249430,616552,1345035,1141076,203959,6382715,636972,2645920,10351038,201038,1661025,3866954,1574017,75809,2222056,6082105,8213737,47967404,,,0
South Dakota,1988,32.84,24.08,12.28,9.44,5.12,2.05,0.21,0.59,0.79,0.43,95.92,0.541544971, 0.0252249 ,54.98%,10.64%,25822.73258,0.5,18028.52809,0.8," 1,102.00 "," 11,173.00 ", 394.00 ," 2,115.00 "," 1,768.00 "," 1,140.00 ", 215.00 ,1086,1571,1038,743,0.098630627,0.035263582,0.189295623,0.158238611,0.102031684,0.019242818,0.097198604,0.14060682,0.092902533,0.066499597,92,13.2,8.9,11.0,8.0,8.0,9.1,12.3,5.0,5.9,23.9,30.5, 1 ,698165," 77,116 ", 9.05 ,0.078191381,1393384,476534,262348,130422,26357,0,26357,1132992,153434,344730,740905,85461,436267,715950,319725,119366,513526,1350757,1491283,9759935,,,0
Tennessee,1988,39.85,29.04,15.22,11.83,6.59,2.74,0.23,0.55,0.77,0.58,95.39,0.357544624, 0.0188762 ,49.86%,10.79%,29229.18116,3.8,140955.8847,4.7," 1,120.00 "," 87,356.00 "," 3,693.00 "," 10,624.00 "," 11,859.00 "," 21,560.00 ", 419.00 ,9376,14295,8015,6397,0.0128211,0.042275287,0.12161729,0.135754842,0.246806172,0.004796465,0.107330922,0.163640734,0.091750996,0.073229086,891,18.4,12.3,14.7,8.1,8.8,17.1,19.4,9.7,11.0,25.2,33.4, 1 ,4822437," 42,144 ", 114.43 ,0.166835495,7798219,3855027,2142276,804454,431770,79650,352120,7082137,1433799,3476540,14138180,242801,3752272,5907059,2881692,377535,3989151,12113815,9170432,71769376,,,0
Texas,1988,40.33,29.05,15.35,11.97,6.72,2.82,0.25,0.60,0.83,0.70,97.07,0.38439851, 0.0187118 ,50.73%,12.76%,31692.03417,5.7,528211.8308,6," 5,166.00 "," 327,354.00 "," 13,273.00 "," 42,817.00 "," 41,816.00 "," 55,346.00 "," 28,696.00 ",30678,52360,33188,24014,0.015781081,0.04054632,0.130797241,0.127739389,0.169070792,0.087660453,0.093715061,0.159949168,0.101382601,0.073357894,2880,17.1,6.9,8.9,10.0,10.6,11.0,13.3,4.9,6.2,16.2,21.7, -   ,16667022," 268,596 ", 62.05 ,0.141369584,26658953,13425516,6271018,4005775,0,0,0,22789839,2924134,12716544,32699309,1116375,14169763,20206080,14276648,8657559,15389508,45200955,34251217,256262447,,,0
Utah,1988,33.29,22.96,10.96,8.18,4.15,1.51,0.21,0.54,0.75,0.46,94.55,0.404472494, 0.0178993 ,53.91%,11.45%,26099.08916,4.6,44091.07045,5.3, 412.00 ," 27,325.00 "," 1,066.00 "," 3,470.00 "," 5,114.00 "," 3,870.00 "," 1,472.00 ",2543,4715,2954,1710,0.015077768,0.039011894,0.126989936,0.18715462,0.141628545,0.053870082,0.093064959,0.172552608,0.10810613,0.062580055,138,8.2,12.2,15.5,13.8,15.1,7.2,9.0,6.1,7.1,31.7,42.0, 1 ,1689372," 84,897 ", 19.90 ,0.039516623,3690734,1602093,589480,197340,709174,637511,71663,3224154,370747,949368,2875793,51905,1044963,1635336,902548,357863,1425425,4025585,4057580,22051776,,,0
Vermont,1988,39.25,27.67,13.89,10.60,5.66,2.21,0.22,0.52,0.73,0.52,96.34,0.518295797, 0.0325727 ,59.76%,15.14%,30110.64054,6.8,16553.71607,8.7, 272.00 ," 10,259.00 ", 643.00 ," 1,725.00 "," 1,151.00 "," 2,171.00 ", 31.00 ,1054,1773,787,653,0.026513305,0.062676674,0.168145043,0.112194171,0.211619066,0.003021737,0.102739058,0.172823862,0.07671313,0.063651428,44,8,10.6,14.2,2.6,2.6,13.0,15.4,5.2,6.9,40.8,55.0, -   ,549763," 9,616 ", 57.17 ,0.011432095,1400123,616043,123490,179832,246348,201660,44688,1268382,204623,635519,1540569,51003,374668,757213,265361,18687,358196,1503134,1004183,8896581,,,0
Virginia,1988,36.15,25.36,12.59,9.56,5.04,1.94,0.23,0.53,0.75,0.62,95.95,0.380183947, 0.0193228 ,53.24%,16.71%,34236.10009,3.4,206680.2207,5.2," 1,413.00 "," 128,088.00 "," 7,665.00 "," 19,322.00 "," 26,610.00 "," 20,677.00 "," 1,090.00 ",11386,21652,11000,7274,0.011031478,0.059841671,0.150849416,0.207747798,0.161428081,0.008509775,0.088892012,0.169040035,0.085878459,0.056789083,671,10.9,9.2,11.4,6.4,6.4,13.3,17.0,7.4,8.9,15.8,20.6, 1 ,6036909," 42,775 ", 141.13 ,0.214605248,11832640,6136607,1188856,1338424,3092250,2757868,334382,10682501,1174758,6599309,13042385,381199,4416676,7757916,4411041,858276,5703678,18866829,22786789,114134538,,,0
Washington,1988,36.97,25.81,12.68,9.58,5.00,1.89,0.22,0.53,0.74,0.55,96.68,0.454100555, 0.0227190 ,62.19%,15.06%,34446.20415,3.6,159826.7015,6," 2,907.00 "," 99,051.00 "," 4,313.00 "," 15,088.00 "," 15,874.00 "," 20,726.00 ", 289.00 ,9333,14995,7984,7542,0.029348517,0.043543225,0.15232557,0.160260876,0.209245742,0.002917689,0.094224188,0.151386659,0.080604941,0.076142593,455,9.6,24.3,28.6,27.3,30.3,34.9,40.1,19.0,22.0,44.6,53.9, -   ,4639893," 71,298 ", 65.08 ,0.088559763,12465160,5994964,3553516,958117,0,0,0,11068397,1645147,4006508,12774700,1085445,3776955,6113009,3193178,181643,4084212,12631220,12586526,81318656,,,0
West Virginia,1988,38.52,27.14,12.55,9.24,4.54,1.58,0.20,0.51,0.72,0.40,95.50,0.44302684, 0.0172169 ,47.80%,7.73%,22813.16304,9,41752.99319,7.4, 158.00 ," 25,876.00 "," 1,025.00 "," 2,814.00 "," 3,473.00 "," 4,981.00 "," 3,216.00 ",2480,3489,2853,1388,0.006106044,0.039611996,0.10874942,0.134217035,0.192494976,0.124285052,0.095841707,0.134835369,0.110256608,0.053640439,283,15.7,20.2,22.9,18.5,18.5,39.2,41.5,20.3,21.2,20.0,29.1, -   ,1830215," 24,230 ", 75.54 ,0.036870046,3700869,1743871,537499,386909,570885,394181,176704,3809454,489604,862445,3057199,49851,811292,1633602,470542,1859855,1440311,3065536,3031458,23149755,,,0
Wisconsin,1988,37.83,26.53,13.16,9.99,5.27,2.02,0.22,0.52,0.74,0.51,96.34,0.418200056, 0.0210413 ,59.01%,12.26%,29987.01672,5.1,144609.0296,6.1," 2,391.00 "," 89,620.00 "," 3,489.00 "," 13,234.00 "," 9,731.00 "," 26,897.00 ", 126.00 ,7861,13209,7248,5431,0.026679313,0.038931042,0.147667931,0.108580674,0.30012274,0.001405936,0.087714796,0.147388976,0.080874805,0.060600312,393,8.4,21.7,22.7,39.7,39.7,31.4,31.7,16.7,17.0,48.8,53.5, -   ,4822388," 65,496 ", 73.63 ,0.065619044,12061071,6005545,1769062,905795,2781336,2319967,461369,9822317,1986248,3211601,18061810,321995,3416105,5431005,2761147,102455,3520454,11454738,8806630,78143063,,,0
Wyoming,1988,35.15,24.36,11.77,8.83,4.53,1.68,0.22,0.57,0.79,0.53,94.94,0.586772434, 0.0276043 ,56.71%,11.57%,38131.1942,9.1,17734.85655,6.3, 248.00 ," 10,991.00 ", 394.00 , 894.00 ," 1,653.00 ", 490.00 ," 3,749.00 ",689,917,1564,394,0.022563916,0.035847512,0.081339278,0.150395778,0.044581931,0.341097261,0.062687654,0.083431899,0.142298244,0.035847512,50,10.9,13.2,16.4,6.5,6.5,3.5,7.0,10.5,12.1,20.1,27.3, 1 ,465101," 97,813 ", 4.76 ,0.033468215,1691118,573030,151047,52040,0,0,0,1508773,91583,364415,244104,38397,195445,489678,147685,832462,573215,766261,1396801,6890814,,,0
Alabama,1989,39.90,26.14,12.79,9.31,5.05,1.98,0.22,0.56,0.76,0.63,95.54,0.381733952, 0.0176429 ,46.88%,8.14%,26356.27918,-0.3,106221.6562,-0.1," 1,516.00 "," 68,394.00 "," 2,679.00 "," 7,701.00 "," 11,679.00 "," 16,373.00 "," 1,043.00 ",6426,9542,7351,4085,0.022165687,0.039170103,0.112597596,0.170760593,0.239392344,0.015249876,0.09395561,0.139515162,0.107480188,0.059727461,779,19.2,13.8,15.7,8.8,9.6,22.7,23.7,11.5,12.4,24.2,31.1, 1 ,4030222," 52,420 ", 76.88 ,0.261873457,8278467,3662563,982170,934144,1279138,1063321,215817,7401006,774747,2486183,10897667,211943,2511529,4073882,1914659,554418,3144705,8438673,9485059,60312581,"29,347","150,126",179473
Alaska,1989,29.13,18.84,8.21,5.81,2.64,0.84,0.24,0.67,0.92,0.60,95.31,0.496104611, 0.0236874 ,61.40%,14.63%,66570.20909,3.1,36424.48904,4.1, 555.00 ," 23,453.00 ", 718.00 ," 1,786.00 "," 3,964.00 "," 1,047.00 "," 7,887.00 ",1132,1966,3922,478,0.02366435,0.03061442,0.076152305,0.169018889,0.044642476,0.3362896,0.048266746,0.083827229,0.167228073,0.020381188,57,11.4,22.8,25.0,33.7,33.7,11.8,15.4,13.1,14.2,43.7,48.1, -   ,547159," 665,384 ", 0.82 ,0.233036219,5112848,1410330,0,80954,459686,0,459686,4447698,356085,711311,589918,379147,297727,860878,300655,799871,1105096,1703167,3576112,11938954,"4,685","24,410",29095
Arizona,1989,37.87,25.75,12.01,8.93,4.38,1.55,0.23,0.58,0.78,0.63,95.33,0.399079358, 0.0196256 ,56.93%,14.20%,29111.34221,-1.5,105446.6671,0.9," 1,400.00 "," 67,895.00 "," 3,580.00 "," 12,193.00 "," 10,886.00 "," 8,499.00 "," 1,290.00 ",7281,12416,6494,3857,0.020620075,0.052728478,0.179586126,0.160335813,0.125178585,0.018999926,0.107239119,0.182870609,0.095647691,0.056808307,484,13.7,7.3,8.8,8.7,8.7,6.9,7.2,4.8,5.6,18.6,23.3, 1 ,3622185," 113,990 ", 31.78 ,0.103928269,7577644,4060582,1841918,628379,1113371,913344,200027,7157299,838605,2892429,6725805,333965,2358921,4738792,2433226,562340,2564651,10491333,8469858,60486975,"52,888","139,240",192128
Arkansas,1989,37.40,25.06,11.77,8.01,4.06,1.41,0.21,0.58,0.77,0.56,95.65,0.396392663, 0.0193866 ,48.84%,8.73%,24575.49895,1.8,57662.91856,2," 1,766.00 "," 37,128.00 "," 1,256.00 "," 4,488.00 "," 4,693.00 "," 9,419.00 ", 447.00 ,3558,4980,4330,2190,0.04756518,0.033828916,0.120879121,0.12640056,0.253689938,0.012039431,0.09583064,0.134130575,0.116623573,0.058985133,472,19.6,9.7,12.1,7.5,8.6,16.6,19.8,8.1,9.9,17.6,23.1, 1 ,2346358," 53,179 ", 44.12 ,0.170364116,4299848,2172464,797345,382370,793606,681935,111671,3840333,626606,1192859,5791603,150120,1228039,2408947,989801,166237,2018032,4324475,3992359,32776869,"20,125","128,972",149097
California,1989,41.13,29.44,15.91,11.90,6.51,2.70,0.26,0.60,0.83,0.82,97.51,0.407118888, 0.0211711 ,54.46%,16.47%,38429.77351,1.1,1122847.425,3.8," 15,386.00 "," 722,979.00 "," 35,324.00 "," 149,842.00 "," 89,505.00 "," 111,246.00 "," 5,537.00 ",67389,147131,51726,49891,0.021281393,0.048858957,0.207256366,0.123800276,0.153871689,0.00765859,0.093210176,0.203506603,0.071545647,0.069007537,4128,13.9,18.9,21.9,25.9,27.2,18.2,19.9,13.3,14.9,48.0,57.8, -   ,29218164," 163,695 ", 178.49 ,0.182288264,81708214,41213784,12732257,3472941,20878208,15815364,5062844,72583084,15002910,31325275,83598371,4321717,29630450,45553559,27773797,2311790,26361175,126492085,79540265,601183746,"313,471","1,421,658",1735129
Colorado,1989,35.58,24.63,11.36,8.56,4.36,1.63,0.23,0.58,0.79,0.63,95.64,0.422372048, 0.0247097 ,62.23%,17.94%,33746.37917,0.8,110546.9963,1.2," 1,522.00 "," 71,179.00 "," 2,836.00 "," 13,051.00 "," 10,939.00 "," 8,869.00 "," 1,692.00 ",6795,13771,7361,4343,0.021382711,0.039843212,0.183354641,0.153682968,0.124601357,0.023771056,0.09546355,0.193469984,0.103415333,0.061015187,461,13.7,9.3,11.3,14.2,14.2,5.6,5.9,6.5,7.4,22.2,29.6, -   ,3275818," 104,094 ", 31.47 ,0.068234782,6966623,2903821,750960,490965,1444030,1272854,171176,5878180,840613,2496718,6783813,248782,2831065,4571822,2842274,1298861,3930818,11749801,9260015,61209049,"44,905","157,400",202305
Connecticut,1989,42.83,31.39,17.51,12.97,7.09,2.94,0.27,0.57,0.79,0.87,95.79,0.389288931, 0.0251959 ,61.86%,19.37%,45329.07888,1,148833.6336,1.3, 591.00 ," 95,831.00 "," 4,903.00 "," 24,365.00 "," 9,005.00 "," 18,181.00 ", 90.00 ,8508,17223,6334,6632,0.006167107,0.051162985,0.254249669,0.093967505,0.189719402,0.000939153,0.088781292,0.179722637,0.066095522,0.069205163,196,6,18.5,19.4,23.3,24.8,17.8,18.3,12.1,12.9,63.3,65.0, -   ,3283403," 5,543 ", 592.35 ,0.101511203,9044649,4808456,2067680,989419,1250690,450737,799953,8972020,1427298,4197466,15052446,286341,4340198,5782431,6031501,91815,2982472,14828179,7961113,84525768,"46,329","115,653",161982
Delaware,1989,35.93,24.65,11.49,8.61,4.34,1.60,0.22,0.54,0.75,0.62,92.83,0.357980832, 0.0238739 ,60.18%,23.55%,44591.37113,5.5,29353.29565,7.3, 321.00 ," 18,900.00 ", 739.00 ," 5,494.00 "," 1,835.00 "," 4,729.00 ", 6.00 ,1396,2490,1140,751,0.016984127,0.039100529,0.290687831,0.097089947,0.25021164,0.00031746,0.073862434,0.131746032,0.06031746,0.03973545,48,6.9,15.8,17.2,20.7,21.3,25.2,26.8,12.1,13.0,37.0,42.1, -   ,658273," 2,489 ", 264.47 ,0.1853541,2256515,1130196,0,158817,582796,427396,155400,1929253,193516,851883,3499950,39855,454031,962749,851772,11027,600896,2188933,1639473,13716907,"11,728","16,545",28273
District of Columbia,1989,44.22,32.63,18.08,13.31,7.17,2.91,0.28,0.60,0.83,0.93,89.75,0.306680375, 0.0270288 ,59.37%,14.47%,93232.14318,2.9,58192.52035,1.9, 10.00 ," 37,469.00 ", 592.00 ," 4,976.00 "," 14,608.00 "," 1,426.00 ", 7.00 ,1455,11437,2381,578,0.000266887,0.015799728,0.132803117,0.389868958,0.038058128,0.000186821,0.038832101,0.305238998,0.063545865,0.015426086,120,21.1,14.9,18.9,34.4,40.0,10.1,15.1,11.3,13.9,22.1,28.8, -   ,624168, 68 ," 9,178.94 ",0.686832113,4120270,2243115,428763,215086,759883,603469,156414,4146592,629585,545234,833569,8141,376952,1040159,1308809,7192,1256174,10332458,13252692,14970581,"8,268","19,195",27463
Florida,1989,45.50,33.36,19.07,14.75,8.51,3.82,0.28,0.60,0.83,0.92,97.34,0.430314361, 0.0235392 ,59.01%,13.80%,29694.9606,0.9,375276.449,3.6," 5,807.00 "," 241,633.00 "," 13,714.00 "," 47,984.00 "," 33,466.00 "," 23,690.00 ", 859.00 ,27956,50110,20907,17141,0.024032313,0.056755493,0.198582147,0.138499294,0.098041244,0.003554978,0.115696118,0.207380614,0.086523778,0.070938158,1896,14.4,7.2,9.9,4.8,5.3,5.5,7.7,3.6,4.9,26.4,36.7, 1 ,12637715," 65,758 ", 192.19 ,0.151064836,22159704,12455553,7637957,2240704,725364,0,725364,19977374,2772531,11019665,17131783,1486870,9853239,18684643,10633418,397240,9804909,42398272,27696801,244145082,"268,777","461,703",730480
Georgia,1989,39.65,27.19,12.92,9.73,4.96,1.86,0.23,0.57,0.78,0.67,95.16,0.352779037, 0.0197838 ,51.39%,11.76%,32411.50662,0.5,207793.3776,2," 2,371.00 "," 133,794.00 "," 6,077.00 "," 20,539.00 "," 18,998.00 "," 25,484.00 ", 693.00 ,12513,20473,13987,12659,0.017721273,0.045420572,0.153512116,0.141994409,0.19047192,0.005179604,0.093524373,0.15301882,0.10454131,0.094615603,1001,15.8,8.9,10.3,12.0,12.9,11.8,12.0,7.7,8.4,14.9,20.0, 1 ,6411099," 59,425 ", 107.89 ,0.283538569,11898052,6347203,2026098,786375,3257060,2732045,525015,10835296,1849877,5060261,16075142,380735,7994322,8377736,5307031,334849,7324962,17650598,16187254,108165689,"81,869","249,023",330892
Hawaii,1989,34.58,24.26,12.22,9.20,4.85,1.91,0.23,0.57,0.78,0.68,95.43,0.423625319, 0.0215279 ,61.74%,15.41%,41753.25821,4.5,45702.61539,5.9, 459.00 ," 29,427.00 "," 1,736.00 "," 7,034.00 "," 6,237.00 "," 1,241.00 ", 18.00 ,3231,5526,2810,1135,0.01559792,0.058993441,0.239032181,0.211948211,0.042172155,0.000611683,0.109797125,0.187786726,0.095490536,0.038570021,121,11,29.9,31.1,43.2,45.0,30.8,30.8,21.3,22.2,58.1,60.5, -   ,1094588," 10,932 ", 100.13 ,0.655098193,4040572,2217039,1024978,290236,856103,768004,88099,3183608,357675,1501587,812272,102701,704513,2187668,1269926,6006,1413503,4396921,5212313,22865408,"29,905","47,384",77289
Idaho,1989,35.04,23.07,11.14,8.08,4.40,1.74,0.21,0.58,0.78,0.58,95.72,0.483864311, 0.0221610 ,54.52%,10.73%,26408.57001,5.5,26261.10455,6.4," 1,565.00 "," 16,909.00 ", 731.00 ," 2,181.00 "," 2,459.00 "," 3,183.00 ", 233.00 ,1683,2497,1410,968,0.092554261,0.043231415,0.128984564,0.145425513,0.188242948,0.013779644,0.099532793,0.147672837,0.083387545,0.05724762,157,14.9,9.7,11.2,4.3,5.1,20.4,20.8,8.1,9.2,17.2,20.3, 1 ,994416," 83,569 ", 11.90 ,0.027287126,2218682,1035025,346636,174746,418295,346674,71621,1858099,203233,758735,1937245,143820,588184,1146367,403252,150595,723919,2152350,2133541,14924453,"14,447","61,197",75644
Illinois,1989,40.35,29.10,15.51,11.75,6.41,2.66,0.25,0.58,0.79,0.77,96.13,0.372590565, 0.0198875 ,57.12%,14.02%,36290.32812,1.8,414064.7326,1.9," 4,079.00 "," 266,608.00 "," 12,021.00 "," 53,607.00 "," 25,771.00 "," 51,759.00 "," 1,506.00 ",23247,48855,23823,21941,0.015299616,0.04508867,0.201070486,0.096662516,0.194138961,0.005648743,0.087195433,0.183246564,0.089355908,0.082296855,1606,13.7,20.8,22.8,50.0,51.3,25.8,27.2,16.7,17.9,44.3,50.5, -   ,11409782," 57,914 ", 197.01 ,0.175840365,22243147,11760588,3899903,2097909,4583081,3510059,1073022,20345735,4145439,10385329,36911437,698267,14235671,15316859,15421865,1055664,12487415,42441672,23859459,226785013,"152,456","397,113",549569
Indiana,1989,36.34,23.78,11.22,8.22,4.22,1.55,0.21,0.55,0.74,0.57,95.59,0.370893989, 0.0188552 ,58.91%,9.66%,30140.90344,3,166489.0973,3.6," 2,109.00 "," 107,199.00 "," 4,760.00 "," 14,405.00 "," 11,025.00 "," 33,732.00 ", 647.00 ,9849,14857,9675,6139,0.019673691,0.044403399,0.134376254,0.102846109,0.314667114,0.006035504,0.091875857,0.138592711,0.090252708,0.057267325,714,13,21.0,22.6,35.7,37.5,41.2,41.6,20.6,21.3,23.7,31.2, -   ,5523693," 36,420 ", 151.67 ,0.086708058,10733223,5902572,2580664,810330,2226922,1944900,282022,9668099,1675968,4303754,23101252,261561,3875101,6567008,3254936,387513,4836324,12942985,9712977,93122680,"67,401","194,082",261483
